"anio","ambito_geografico","indicador","tasa_bruta_natalidad_nacidos_por_mil_habitantes","estado_dato","tipo_dato_ine","fuente","url_api"
"2025","Total Nacional","Tasa Bruta de Natalidad","6.687472","proyectado","Proyeccion a largo plazo","INE - Proyecciones de poblacion, tabla API 36653","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36653?tip=AM"
"2026","Total Nacional","Tasa Bruta de Natalidad","6.741911","proyectado","Proyeccion a largo plazo","INE - Proyecciones de poblacion, tabla API 36653","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36653?tip=AM"
"2027","Total Nacional","Tasa Bruta de Natalidad","6.799022","proyectado","Proyeccion a largo plazo","INE - Proyecciones de poblacion, tabla API 36653","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36653?tip=AM"
"2028","Total Nacional","Tasa Bruta de Natalidad","6.856451","proyectado","Proyeccion a largo plazo","INE - Proyecciones de poblacion, tabla API 36653","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36653?tip=AM"
"2029","Total Nacional","Tasa Bruta de Natalidad","6.914027","proyectado","Proyeccion a largo plazo","INE - Proyecciones de poblacion, tabla API 36653","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36653?tip=AM"
"2030","Total Nacional","Tasa Bruta de Natalidad","6.972574","proyectado","Proyeccion a largo plazo","INE - Proyecciones de poblacion, tabla API 36653","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36653?tip=AM"
"2031","Total Nacional","Tasa Bruta de Natalidad","7.033369","proyectado","Proyeccion a largo plazo","INE - Proyecciones de poblacion, tabla API 36653","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36653?tip=AM"
"2032","Total Nacional","Tasa Bruta de Natalidad","7.097696","proyectado","Proyeccion a largo plazo","INE - Proyecciones de poblacion, tabla API 36653","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36653?tip=AM"
"2033","Total Nacional","Tasa Bruta de Natalidad","7.165969","proyectado","Proyeccion a largo plazo","INE - Proyecciones de poblacion, tabla API 36653","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36653?tip=AM"
"2034","Total Nacional","Tasa Bruta de Natalidad","7.238069","proyectado","Proyeccion a largo plazo","INE - Proyecciones de poblacion, tabla API 36653","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36653?tip=AM"
"2035","Total Nacional","Tasa Bruta de Natalidad","7.313105","proyectado","Proyeccion a largo plazo","INE - Proyecciones de poblacion, tabla API 36653","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36653?tip=AM"
